,textstring
3.24.4,daruber machte dann die kostfrau welche die kuche selbst versehen muste denn er dingte ihr keine magd ein schwartze saure bruh und uberteuffelts mit pfeffer da wurden dann die beiner so sauber abgeschleckt dass man alsbald schachstein darauss hatte drehen konnen und doch waren sie alsdan noch nit recht aussgenutzt sondern sie kamen in einen hierzu verordneten behalter und wenn unser geitzhals deren ein quantitat beysammen hatte musten sie erst klein zerhackt und das ubrige fett biss auff das allerausserste herauss gesotten werden nicht weiss ich wurden die suppen darauss geschmaltzt oder die schuh damit geschmiert
3.24.5,an den fasttagen deren mehr als genug einfielen und alle solenniter gehalten wurden weil der haussvatter dissfalls gar gewissenhafft war musten wir uns mit stinckenden buckingen versaltznen polchen faulen stock und andern abgestandenen fischen herumb beissen dann er kieffe alles der wolfeile nach und liess sich die muhe nicht dauren zu solchem ende selbst auff den fischmarckt zu gehen und anzupacken was jetzt die fischer ausszuschmeissen im sinn hatten
3.24.6,unser brod war gemeiniglich schwartz und altbachen der tranck aber ein dinn saur bier das mir die darm hatte zerschneiden mogen und muste doch gut abgelegen mertzen bier heissen
3.24.7,uber das vernam ich von seinem teutschen knecht dass es sommerszeit noch schlimmer hergehe dann da sey das brod schimlich das fleisch voller wurm und ihre beste speisen ware irgends zu mittags ein paar rettig und auff den abend eine hand voll salat
3.24.8,jch fragte warumb er dann bey dem filtz bleibe
3.24.9,da antwort er mir dass er die meiste zeit auff der rais seye und derhalben mehr auff der raisenden trinckgelter als seinen schimmeljuden bedacht seyn muste
3.24.10,er getraute seinem weib und kindern nicht in keller weil er ihm selbsten den tropffwein kaum gonnete und seye in summa ein solcher geldwolff dergleichen kaum noch einer zu finden das so ich bissher gesehen sey noch nichts wenn ich noch ein weil da verbliebe wurde ich gewahr nehmen dass er sich nicht schame einen esel umb ein fettmonch zu schinden
3.24.11,einsmals brachte er sechs pfund sultzen oder rindern kuttlen heim das setzte er in seinen speiss keller und weil zu seiner kinder grossem gluck das tagfenster offen stund banden sie ein essgabel an einen stecken und angelten damit alle kuttelfleck herauss welche sie also halb gekocht in grosser eyl verschlangen und vorgaben die katz hatte es gethan
3.24.12,aber der erbsenzehler wolt es nit glauben fieng derhalben die katz wog sie und befand dass sie mit haut und haar nicht so schwer war als seine kuttlen gewesen
3.24.13,weil er dann so gar unverschamt handlete als begehrte ich nit mehr an seiner leute sondern an gemeldter studenten tafel es koste auch was es wolle zu essen worbey es zwar etwas herrlicher hergieng wurde mir aber wenig damit geholffen dann alle speisen die man uns fur setzte waren nur halb gar so unserm kostherrn an orten zu pass kam erstlich am holtz so er gespart und dass wir nit so viel verdanen konten
3.24.14,uber das so dunckte mich er zehlte uns alle mund voll in hals hinein und kratzte sich hindern ohren wen wir recht futterten
3.24.15,sein wein war zimlich gewassert und nit der art die dauung zu befordern
3.24.16,der kass den man am end jeder mahlzeit auffstellte war gemeinlich steinhart die hollandische butter aber dermassen versaltzen dass keiner uber ein loth darvon auff einen jmbis geniessen konte das obs muste man wol so lang auff und abtragen biss es murb und zu essen tauglich war wann dann etwan ein oder ander darauff stichelte so fieng er einen erbarmlichen hader mit seinem weib an dass wirs horten heimlich aber befahl er ihr sie solte nur bey ihrer alten geigen bleiben
3.24.17,einsmals brachte ihm einer von seinen clienten einen hasen zur verehrung den sahe ich in der speisskamer hangen und gedachte wir wurden einmal wildpret essen dorffen aber der teutsche knecht sagte mir dass er uns nicht an die zahn brennen wurde dann sein herr hatte den kostgangern aussgedingt dass er so keine schnabelwaid speisen dorffte ich solte nur nachmittag auff den alten marck gehen und sehen ob ich ihn nit dorten zu verkauffen finden wurde
3.24.18,darauff schnitte ich dem hasen ein stucklein vom ohr und als wir uber dem mittagjmbiss sassen und unser kostherr nicht bey uns war erzehlte ich dass unser geitzhals ein hasen zu verkauffen hatte umb den ich ihn zu betrugen gedachte wenn mir einer auss ihnen folgen wolte also dass wir nicht allein kurtzweil anrichten sondern den hasen selbst kriegen wollen
3.24.19,jeder sagte ja denn sie hatten unserm wirth gern vorlangst ein schabernack angethan dessen er sich nit beklagen dorffte
3.24.20,also verfugten wir uns den nachmittag an den jenigen ort den ich vom knecht erlernt hatte da unser kostherr zu siehen pflegte wenn er so etwas zu verkauffen hingab umb auffzupassen was der verkauffer losete damit er nicht etwan umb ein fettmonch betrogen wurde
3.24.21,wir sahen ihn bey vornehmen leuten mit denen er discurirte
3.24.22,ich hatte einen kerl angestellt der gieng zu dem hocken der den hasen verkauffen solte und sagte
3.24.23,landsmann der has ist mein und ich nimm ihn als ein gestolen gut auff recht hinweg er ist mir heunt nacht von meinem fenster hinweg gefischt worden und last du ihn nicht gutwillig folgen so gebe ich auff deine gefahr und unrechts kosten mit dir hin wo du wilt
3.24.24,der unterkauffer antwort er solte sehen was er zu thun hatte dort stunde ein vornehmer herr der ihm den hasen zu verkauffen geben hatte welcher ihn ohn zweiffel nicht gestolen haben wurde
3.24.25,als nun diese zween so wortwechselten bekamen sie gleich einen umbstand so unser geitzhals stracks in acht name und horte wie viel die glock schlug winckte derowegen dem unterkauffer dass er den hasen folgen lassen solte weil er wegen der vielen kostganger noch mehr schimpff besorgte
3.24.26,mein kerl aber den ich hierzu angestellt hatte wuste dem umbstand gar artlich das stuck vom ohr zu weisen und dasselbe in dem ritz zu messen dass ihm also jederman recht gab und den hasen zusprach
3.24.27,jndessen naherte ich mich auch mit meiner gesellschafft als ob wir ungefahr daher kamen stunde an dem kerl der den hasen hatte und fieng an mit ihm darumb zu marcken
3.24.28,und nachdem wir dess kauffs eins wurden stellt ich den hasen meinem kostherrn zu mit bitt solchen mit sich heim zu nehmen und auff unsern tisch zurichten zu lassen dem kerl aber den ich hierzu bestellt gab ich an statt der bezahlung vor den hasen ein trinckgelt zu zwey kannen bier
3.24.29,also muste uns unser geitzhals den hasen wider seinen willen zukommen lassen und dorffte noch darzu nichts sagen dessen wir genug zu lachen hatten und wenn ich langer in seinem hauss hatte verbleiben sollen wolte ich ihm noch viel dergleichen stucklein bewiesen haben
3.24.30,ende dess iii
3.24.31,buchs
4.0.1,abentheurlicher simplicissimus teutsch
4.0.2,das vierte buch jnhalt dess iv
4.0.3,buchs
4.0.4,das capitel
4.0.5,wie und auss was ursachen der jager in franckreich practicirt worden
4.0.6,das capitel
4.0.7,simplicius bekomt einen bessern kostherrn als er zuvor einen gehabt
4.0.8,das capitel
4.0.9,wie er sich vor einen comedianten gebrauchen last und einen neuen nahmen bekompt
4.0.10,das capitel
4.0.11,beau alman wird wider seinen willen in den venusberg gefuhrt
4.0.12,das capitel
4.0.13,wie es ihm darinnen ergieng und wie er wieder herauss kam
4.0.14,das capitel
4.0.15,simplicius macht sich heimlich weg und wie ihm der stein geschnitten wird als er vermeynt er habe mal de nable
4.0.16,das capitel
4.0.17,wie simplicius calender macht und als ihm das wasser ans maul gieng schwimmen lernte
4.0.18,das capitel
4.0.19,wie er ein landfahrender storger und leutbetruger worden
4.0.20,das capitel
4.0.21,wie dem doctor die mussquete zuschlagt unter dem hauptmann schmalhansen
4.0.22,das capitel simplicius uberstehet ein unlustig bad im rhein
4.0.23,das capitel
4.0.24,warumb die geistliche keine hasen essen sollen die mit stricken gefangen worden
4.0.25,das capitel
4.0.26,simplicius wird unverhofft von der mussquete erlost
4.0.27,das capitel
4.0.28,handelt von dem orden der merodebruder
4.0.29,das capitel
4.0.30,ein gefahrlicher zweykampff umb leib und leben in welchem doch jeder dem todt entrinnet
4.0.31,das capitel
4.0.32,wie olivier seine buschklopfferische ubel thaten noch wolzu entschuldigen vermeynte
4.0.33,das capitel
4.0.34,wie er hertzbruders weisssagung zu seinem vorthel ausslegt und desswegen seinen argsten feind liebet
4.0.35,das capitel
4.0.36,simplicii gedancken sind andachtiger wen er auff die rauberey gehet als dess oliviers in der kirchen
4.0.37,das capitel
4.0.38,olivier erzehlt sein herkommen und wie er sich in seiher jugend vornemlich aber in der schul gehalten
4.0.39,das capitel wie erzu luttig studirt und sich daselbst gehalten habe
4.0.40,das capitel
4.0.41,heimkunfft und abschied dess ehrbaren studiosi und wie er im krieg seine beforderung gesucht
4.0.42,das capitel
4.0.43,wie dess hertzbruders prophecey simplicius dem olivier erfullt als keiner den andern kante
4.0.44,das capitel
4.0.45,wie es einem gehet und was es sey wenn es ihm hund und katzenubel geht
4.0.46,das capitel
4.0.47,ein stucklein zum exempel dess jenigen handwercks das olivier triebe worin er ein meister war und simplicius ein lehrjung seyn solte
4.0.48,das capitel
4.0.49,olivier beist ins gras und nimmt noch ihrer sechs mit sich
4.0.50,das capitel
4.0.51,simplicius kompt reich darvon hingegen zeucht hertzbruder sehr elend auff
4.0.52,das capitel
4.0.53,jst das letzte in diesem vierten buch weil keines mehr hernach folget
4.1.1,das erste capitel allzuscharff macht scharttig und wenn man den bogen uberspannet so muss er endlich zerbrechen
4.1.2,der poss den ich meinem kostherrn mit dem hasen risse war mir nicht genug sondern ich unterstunde noch mehr seinen unersattlichen geitz zu straffen ich lernete seine kostganger wie sie die versaltzene butter wassern und dardurch das uberflussige saltz herauss ziehen die harte kass aber wie die parmesaner schaben und mit wein anfeuchten solten welches dem geitzhals lauter stich ins hertz waren
4.1.3,ich zog durch meine kunststuck uber tisch das wasser auss dem wein und machte ein lied in welchem ich den geitzigen einer sau vergliche von welcher man nichts guts zu hoffen biss sie der metzger todt auff dem schragen ligen hatte
4.1.4,damit verursachte ich dass er mich mit folgender untreu wieder brav bezahlte weil ich solche sachen in seinem hauss zu uben nicht bestellt war
4.1.5,die zween junge von adel bekamen einen wexel und befelch von ihren eltern sich in franckreich zu begeben und die sprach zu lernen eben als unsers kostherrn teutscher knecht anderwerts auff der rais war und dem welschen sagt unser kostherr dorffte er die pferd in franckreich nicht vertrauen weil er ihn noch nit recht kennete denn er besorgte wie er vorgab er mochte das wiederkomen vergessen und ihn umb die pferd bringen
4.1.6,bat mich derowegen ob ich ihm nicht den grossen dienst thun und beyde edelleut mit seinen pferden weil ohne das meine sach in wochen noch nicht erortert werden konte nach pariss fuhren wolte
4.1.7,er hingegen wolte indessen meine geschafften wenn ich ihm desswegen vollkomenen gewalt geben wurde so getreulich befordern als ob ich persohnlich gegenwartig ware
4.1.8,die von adel ersuchten mich desswegen auch und mein eigener furwitz franckreich zu besehen riethe mir solches gleichfalls weil ichs jetzt ohne sondern unkosten thun konte und ich ohne das die vier wochen auff der faulen bernhaut da ligen und noch geld darzu verzehren muste
4.1.9,also machte ich mich mit diesen edelleuten an statt eines postilionen auff den weg auff welchem mir nichts merckwurdiges zu handen stiesse
4.1.10,da wir aber nach pariss kamen und bey unsers kostherrn correspondenten bey dem die edelleut auch ihren wexel empfiengen einkehrten wurde ich den andern tag nit allein mit den pferden arrestirt sondern der jenige so vorgab mein kostherr ware ihm ein suma gelds zu thun schuldig griffe mit gutbeissung desselben viertelscommissario zu und versilberte die pferd gott geb was ich darzu sagte
4.1.11,also sass ich da wie matz von dressden und wuste mir selbst nicht zu helffen viel weniger zu rathen wie ich einen so weiten und damals sehr unsichern weg wieder zuruck komen solte
4.1.12,die von adel bezeugten ein gross mitleiden mit mir und verehrten mich desto ehrlicher mit einem guten trinckgelt wolten mich auch nicht ehender von sich lassen biss ich entweder einen guten herrn oder eine gute gelegenheit hatte wieder in teutschland zu kommen
4.1.13,sie dingten ihnen ein losament und ich hielte mich etlich tag bey ihnen auff damit ich dem einen so wegen der fernen rais deren er nicht gewohnt etwas unpasslich worden ausswartete
4.1.14,und demnach ich mich so fein anliesse schenckt er mir sein kleid so er ablegte dann er sich auff die neue mode kleiden liesse
4.1.15,jhr rath war ich solte nur immer ein paar jahr in pariss bleiben und die sprach lernen das ich zu coln zu holen hatte wurde mir nicht entlauffen
4.1.16,da ich nun so in der wahl stunde und noch zweiffelte was ich thun wolte horte mich einsmals der medicus so meinen krancken junckern zu curiren alle tag zu uns kame auff der lauten schlagen und ein teutsch liedlein darein singen das ihm so wol gefiele dass er mir ein gute bestallung anbotte sampt seinem tisch da ich mich zu ihm begeben und seine sohn unterrichten wolte dan er wuste schon besser wie mein handel stunde als ich selbst und dass ich einen guten herrn nit aussschlagen wurde
4.1.17,also wurden wir dess handels miteinander bald eins weil beyde edelleute das beste darzu redeten und mich trefflich recommendirten ich verdingte mich aber nit langer als von einem vierteljahr zum andern
4.1.18,dieser doctor redte so gut teutsch als ich und das jtalianisch wie seine muttersprach derhalben versprach ich mich desto lieber zu ihm
4.1.19,als ich nun die letze zehrte mit meinen edelleuten war er auch darbey und mir giengen uble grillen im kopff herumb dann da lag mir mein frischgenommen weib mein versprochen fahnlein und mein schatz zu coln im sinn von welchem allem ich mich so leichtfertig hinweg zu begeben bereden lassen und da wir von unsers gewesten kostherrn geitz zu reden kamen fiele mir zu und ich sagte auch uber tisch
4.1.20,wer weiss ob vielleicht unser kostherr mich nicht mit fleiss hieher practicirt damit er das meinig zu coln erheben und behalten moge
4.1.21,der doctor antwort das konne wol seyn vornemlich wann er glaube dass ich ein kerl von geringem herkomen sey
4.1.22,nein antwort der eine edelmann wenn er zu solchem end hieher geschickt worden ist dass er hier bleiben solle so ists darumb geschehen weil er ihm seines geitzes wegen so viel drangsal anthate
4.1.23,der krancke fieng an jch glaub aber ein andere ursach
4.1.24,als ich neulich in meiner kammer stunde und unser kostherr mit seinem welschen ein laut gesprach hielte horchte ich warumbs doch zu thun seyn mochte
4.1.25,und vernam endlich auss dess welschen geradbrechten worten
4.1.26,der jager verfuchsschwantzte ihn bey der frauen und sage er warte der pferd nicht recht
4.1.27,welches aber der eyfersichtige gauch wegen seiner ublen redkunst unrecht und auff etwas unehrlichs verstunde und derowegen dem welschen zusprach er solte nur bleiben der jager musse bald hinweg
4.1.28,er hat auch seitber sein weib scheel angesehen und mit ihr viel ernstlicher gekollert als zuvor so ich an dem narrn mit fleiss in acht genommen
4.1.29,der doctor sagte es sey geschehen auss was vor einer ursach es wolle so lass ich wol gelten dass die sach so angestellt worden dass er hier bleiben muss
4.1.30,er lasse sich aber das nicht irren ich will ihm schon wieder mit guter gelegenheit nach teutschland verhelffen er schreibe ihm nur dass er den schatz wol beobachte sonst werde er scharffe rechenschafft darumb geben mussen
4.1.31,diss gibt mir einen argwohn dass es ein angestellter handel sey weil der jenige so sich vor den creditor dargeben eners kostherrn und seines hiesigen correspondenten sehr guter freund ist und ich will glauben dass ihr die obligation krafft deren er die pferd angepackt und verkaufft hat jetzt erst mit euch gebracht habt
4.2.1,das ii capitel
4.2.2,monsigneur canard so hiess mein neuer herr erbotte sich mir mit rath und that beholffen zu seyn damit ich dess meinigen zu coln nicht verlustigt wurde dann er sahe wol dass ich traurig war
4.2.3,so bald er mich in seine wohnung brachte begehrte er ich wolte ihm erzehlen wie meine sachen beschaffen waren damit er sich drein finden und rathschlag ersinnen konte wie mir am besten zu helffen seye
4.2.4,jch gedachte wol dass ich nicht viel gulte wen ich mein herkommen offnen solte gab mich derhalben vor einen armen teutschen edelmann auss der weder vatter noch mutter sondern nur noch etliche verwandte in einer vestung hatte darin schwedische guarnison lege
4.2.5,welches ich aber vor meinem kostherrn und beyden von adel als welche kais
4.2.6,partey hielten verborgen halten mussen damit sie das meinige als ein gut so dem feind zustandig nit an sich zogen
4.2.7,meine meynung ware ich wolte an den commandanten bemeldter vestung schreiben als unter dessen regiment ich die stell eines fahnrichs hatte und ihn nicht allein berichten was gestalten ich hieher practicirt worden sondern ihn auch bitten dass er belieben wolte sich dess meinigen habhafft zu machen und solches biss ich wieder gelegenheit kriege zum regiment zu kommen indessen meinen freunden zuzustellen
4.2.8,canard befand mein vorhaben rathsam und versprach mir die schreiben an ihren ort zu bestellen und solten sie gleich nach mexico oder in china lauten
4.2.9,demnach verfertigte ich schreiben an meine liebste an meinen schwehrvatter und an den obristen de s
4.2.10,a
4.2.11,commandanten in l
4.2.12,an welchen ich auch das copert richtete und ihm die ubrige beyde beyschlosse
4.2.13,der jnhalt war dass ich mit ehistem mich wieder einstellen wolte da ich nur mittel an die hand kriegte ein so weite rais zu vollenden und bat beydes meinen schweher und den obristen dass sie vermittels der militiae das meinige zu bekommen unterstehen wolten ehe gras daruber wachse berichtete darneben wie viel es an gold silber und cleinodien seye
4.2.14,solche brieff verfertigte ich in duplo ein theil bestellt mons
4.2.15,canard das ander gab ich auff die post damit wenn irgend das eine nicht uberkame jedoch das ander einlieffe
4.2.16,also wurde ich wieder frolich und instruirte meines herrn sohn desto leichter die als junge printzen erzogen wurden dann weil mons
4.2.17,canard sehr reich als war er auch uberauss hoffartig und wolte sich sehen lassen
4.2.18,welche kranckheit er von grossen herren an sich genommen weil er gleichsam taglich mit fursten umbgieng und ihnen alles nachaffte
4.2.19,sein hauss war wie eines grafen hofhaltung in welcher kein anderer mangel erschiene als dass man ihn nit auch einen gnad
4.2.20,herrn nennete und seine imagination war so gross dass er auch einem marquis da ihn etwan einer zu besuchen kam nicht hoher als seines gleichen tractirte
4.2.21,er theilte zwar geringen leuten auch von seinen mitteln mit er nam aber kein gering geld sondern schenckte ihnen eher ihre schuldigkeit damit er einen grossen nahmen haben mochte
4.2.22,weil ich zimlich cueios war und wuste dass er mit meiner person prangte wenn ich neben andern dienern hinder ihm her tratte und er krancke besuchte als halff ich ihm auch stets in seinem laboratorio artzneyen davon wurde ich zimlich gemein mit ihm wie er dann ohne das die teutsche sprach gern redete sagte derowegen einsmals zu ihm
4.2.23,warumb er sich nit von seinem adelichen sitz schreibe den er neulich nahend pariss umb cronen gekaufft hatte
4.2.24,item warumb er lauter doctores auss seinen sohnen zu machen gedencke und sie so streng studiren lasse ob nicht besser ware dass er ihnen in dem er doch den adel schon hatte wie andere cavallier irgends aempter kauffe und sie also vollkommen in den adelichen stand tretten lasse
4.2.25,nein antwortet er wenn ich zu einem fursten kome so heists
4.2.26,herr doctor er setze sich nieder
4.2.27,zum edelmann aber wird gesagt
4.2.28,wart auff
4.2.29,jch sagte weiss aber der herr doctor nicht dass ein artzt dreyerley angesichter hat das erste eines engels wann ihn der krancke ansichtig wird das ander eines gottes wenn er hilfft das dritte eines teuffels wenn man gesund ist und ihn wieder abschafft
4.2.30,also wahrt solche ehr nicht langer als so lang dem krancken der wind im leib herumb gehet wenn er aber hinauss ist und das rumpeln auffhoret so hat die ehr ein end und heists alsdann auch
4.2.31,doctor vor der thur ists dein
4.2.32,hat demnach der edelmann mehr ehr von seinem sitzen weil er nemlich seinem printzen bestandig auffwartet und die ehr hat niemals von seiner seiten zu kommen
4.2.33,der herr doctor hat neulich etwas von einem fursten in mund genommen und demselben seinen geschmack abgewinnen mussen ich wolte lieber zehen jahr stehen und auffwarten ehe ich eines andern koth versuchen wolte und wann man mich gleich auff lauter rosen setzen wolte
4.2.34,er antwortet das muste ich nicht thun sondern thats gern damit wenn der furst sehe wie sauer michs ankame seinen zustand recht zu erkundigen meine verehrung desto grosser wurde
4.2.35,und warumb wolte ich dessen koth nit versuchen der mir etlich hundert pistoln darvor zu lohn gibt ich aber hingegen ihm nichts gebe wenn er noch gar was anders von mir muss fressen
4.2.36,ihr redet von der sach wie ein teutscher wenn ihr aber einer andern nation waret so wolte ich sagen ihr hattet davon geredt wie ein narr
4.2.37,mit diesem sentenz nam ich vor lieb weil ich sahe dass er sich erzornen wolte und damit ich ihn wieder auff einen guten laun brachte bate ich er wolte meiner einfalt etwas zu gut halten und brachte etwas annehmlichers auff die bahn
4.3.1,das iii capitel
4.3.2,gleich wie mons
4.3.3,canard mehr wildpret hinweg zu werffen als mancher zu fressen hat der ein eigene wildbahn vermag und ihm mehr zahmes verehrt wurde als er und die seinige verzehren konten
4.3.4,also hatte er taglich viel schmarotzer so dass es ihm gleich sahe als ob er ein freye tafel gehalten hatte
4.3.5,einsmals besuchten ihn dess konigs geremonienmeister und andere vornehme personen vom hof denen er ein furstliche collation darstellete weil er wol wuste wen er zum freund behalten solte nemlich die jenige so stets umb den konig waren oder sonst bey demselben wol stunden damit er nun denselben den allergeneigtesten willen erzeige und ihnen allen lust machen mochte begehrte er ich wolte ihm zu ehren und der ansehenlichen gesellschafft zu gefallen ein teutsch liedlein in meine laute horen lassen
4.3.6,ich folgte gern weil ich eben im laun war wie dann die musici gemeiniglich seltzame grillenfanger sind beflisse mich derhalben das beste geschirr zu machen und contentirte demnach die anwesende so wol dass der ceremonienmeister sagte
4.3.7,es ware immer schad dass ich nit die frantzosische sprach konte er wolte mich sonst trefflich wol beym konig und der konigin anbringen
4.3.8,mein herr aber so besorgte ich mochte ihm auss seinen diensten entzuckt werden antwortet ihm dass ich einer von adel seye und nit lang in franckreich zu verbleiben gedachte wurde mich demnach schwerlich vor einen musicanten gebrauchen lassen
4.3.9,darauff sagte der ceremonienmeister dass er sein tag nit ein so seltene schon heit ein so klare stimm und ein so kunstlichen lautenisten an einer person gefunden es solte ehist vorm konig im louvre eine comedia gespielt werden wann er mich darzu gebrauchen konte so verhoffte er grosse ehr mit mir einzulegen
4.3.10,das hielt mir mons
4.3.11,canard vor ich antwortet ihm wann man mir sagt was vor eine person ich praesentiren und was vor lieder ich in meine lauten singen solte so konte ich ja beydes die melodeyen und lieder ausswendig lernen und solche in meine laute singen wenn sie schon in frantzos
4.3.12,sprach waren es mochte ja leicht mein verstand so gut seyn als eines schulerknaben die man hierzu auch zu gebrauchen pflege unangesehen sie erst beydes wort und geberden lernen musten
4.3.13,als mich der ceremonienmeister so willig sahe muste ich ihm versprechen den andern tag ins louvre zu kommen umb zu probirn ob ich mich darzu schickte
4.3.14,also stellte ich mich auff die bestimmte zeit ein die melodeyen der unterschiedlichen lieder so ich zu fingen hatte schlug ich gleich perfect auff dem jnstrument weil ich das tabulaturbuch vor mir hatte empfieng demnach die frantzosische lieder solche ausswendig und die ausssprach recht zu lernen welche mir zugleich verteutscht wurden damit ich mich mit den geberden darnach richten konte
4.3.15,solches kam mich gar nicht schwer an also dass ichs eher konte als sichs jemand versahe und zwar dergestalt wenn man mich singen horte massen mir monsig
4.3.16,canard das lob gab dass der tausende geschworen hatte ich ware ein geborner frantzos
4.3.17,und da wir die comedia zu probiren das erste mal zusammen kamen wuste ich mich so klaglich mit meinen liedern melodeyen und geberden zu stellen dass sie alle glaubten ich hatte dess orphei person mehr agirt als den ich damals praesentiren und mich umb meine euridice so ubel geheben muste
4.3.18,jch hab die tag meines lebens keinen so angenehmen tag gedabt als mir der jenige war an welchem diese comedia gespielt wurde
4.3.19,mons
4.3.20,canard gab mir etwas ein meine stimm desto klarer zu machen und da er meine schonheit mit oleo talci erhohern und meine halbkrause haar die von schwartze glitzerten verpudern wolte fande er dass er mich nur damit verstellte ich wurde mit einem lorbeerkrantz bekronet und in ein antiquisch meergrun kleid angethan in welchem man mir den gantzen hals das obertheil der brust die arm biss hinder die elendogen und die knye von den halben schenckeln an biss auff die halbe waden nackend und bloss sehen konte umb solches schlug ich einen leibfarben daffeten mantel der sich mehr einem feldzeichen vergliche
4.3.21,in solchem kleid leffelt ich umb meine euridice ruffte die venus mit einem schonen liedlein umb beystand an und brachte endlich meine liebste darvon
4.3.22,jn welchem actu ich mich trefflich zu stellen und meine liebste mit seufftzen und spielenden augen anzublicken wuste
4.3.23,nachdem ich aber meine euridicen verloren zog ich einen gantz schwartzen habit an auff die vorige mode gemacht auss welchem meine weisse haut hervor schiene wie der schnee
4.3.24,in solchem beklagte ich meine verlorne gemahlin und bildete mir die sach so erbarmlich ein dass mir mitten in meinen traurigen liedern und melodeyen die threnen herauss rucken und das weynen dem singen den pass verlegen wolte doch langte ich mit einer schonen manier hinauss biss ich vor plutonem und proserpinam in die holle kam denselben stellte ich in einem sehr beweglichen lied ihre lieb die sie beyde zusammen trugen vor augen und bate sie darbey abzunehmen mit was grossem schmertzen ich und euridice voneinander geschieden worden waren bat demnach mit den aller andachtigsten geberden und zwar alles in meine harffe singend sie wolten mir solche wider zukommen lassen und nachdem ich das jawort erhalten bedanckte ich mich mit einem frolichen lied gegen ihnen und wuste das angesicht sampt geberden und stime so frolich zu verkehren dass sich alle anwesende zuseher daruber verwunderten
4.3.25,da ich aber meine euridice wieder ohnversehens verlohr bildet ich mir die groste gefahr ein darein je ein mensch gerathen konte und wurde davon so bleich als ob mir ohnmachtig werden wollen dann weil ich damals allein auff der schaubuhne war und alle spectatores auff mich sahen beflisse ich mich meiner sachen desto eyferiger und bekam die ehr darvon dass ich am besten agirt hatte
4.3.26,nachgehends setzte ich mich auff einen felsen und fieng an den verlust meiner liebsten mit erbarmlichen worten und einer traurigen melodey zu beklagen und alle crenturen umb mitleiden anzuruffen darauff stellten sich allerhand zahme und wilde thier berg baum und dergleichen bey mir ein also dass es in warheit ein ansehen hatte als ob alles mit zauberey uber naturlicher weis ware zugericht worden
4.3.27,keinen andern fehler begieng ich als zuletzt da ich allen weibern abgesagt von den bacchis erwurgt und ins wasser geworffen war welches zugericht gewesen dass man nur meinen kopff sahe denn mein ubriger leib stunde unter der schaubuhne in guter sicherheit da mich der drach benagen solte der kerl aber so im drachen stack denselben zu regieren meinen kopff nicht sehen konte und dahero dess drachen kopff neben dem meinigen grasen liesse das kam mir so lacherlich vor dass ich mir nit abbrechen konte daruber zu schmollen welches die dames so mich gar wol betrachteten in acht namen
4.3.28,von dieser comedia bekam ich neben dem lob das mir manniglich gab nicht allein eine treffliche verehrung sondern ich kriegte auch einen andern nahmen in dem mich forthin die frantzosen nicht anders als beau alman nenneten
4.3.29,es wurden noch mehr dergleichen spiel und ballet gehalten dieweil man die fassnacht celebrirte in welchen ich mich gleichfalls gebrauchen liesse befand aber zuletzt dass ich von andern geneidet wurde weil ich die spectatores und sonderlich die weiber gewaltig zoge ihre augen auff mich zu wenden that michs derowegen ab sonderlich als ich einsmals zimlich stoss kriegte da ich als ein hercules gleichsam nackend in einer lowenhaut mit acheloo umb die dejaniram kampffte da man mirs grober machte als in einem spiel der gebrauch ist
4.4.1,das iv capitel
4.4.2,hjerdurch wurde ich bey hoben personen bekant und es schiene als ob mir das gluck wieder auff ein neues hatte leuchten wollen dann mir wurden gar dess konigs dienste angebotten welches manchem grossen hansen nicht widerfahrt
4.4.3,einsmals kam ein laquey der sprach meinen monsig
4.4.4,canard an und bracht ihm meinetwegen ein brieflein eben als ich bey ihm in seinem laboratorio sasse und reverberirte denn ich hatte auss lust bey meinem doctor schon perlutirn resolvirn sublimirn coagulirn digerirn calcinirn filtrirn und dergleichen unzehlich viel alkuhmistische arbeit gelernet dadurch er seine artzneyen zuzurichten pflegte monsieur beau alman sagte er zu mir diss schreiben betrifft euch
4.4.5,es schicket ein vornehmer herr nach euch der begehrt ihr wollet gleich zu ihm kommen er wolle euch ansprechen und vernehmen ob euch nicht beliebe seinen sohn auff der lauten zu informiren
4.4.6,er bitt mich euch zuzusprechen dass ihr ihm diesen gang nit abschlagen wollet mit sehr cortoisem versprechen euch diese muhe mit freundlicher danckbarkeit zu belohnen
4.4.7,jch antwortet wenn ich seinet verstehe mons canard
4.4.8,wegen jemand wurde dienen konnen so wurde ich meinen fleiss nit sparen
4.4.9,darauff sagte er ich solte mich nur anders anziehen mit diesem laqueven zu gehen indessen biss ich fertig wolte er mir etwas zu essen fertig machen lassen dann ich hatte ein zimlich weiten weg zu gehen dass ich kaum vor abend an den bestimten ort komen wurde
4.4.10,also butzte ich mich zimlich und verschluckte in eyl etwas von der collation sonderlich aber ein paar kleiner delicaten wurstlein welche als mich deuchte zimlich starck apotheckerten
4.4.11,gieng demnach mit gedachtem laqueyen durch seltzame umbweg einer stund lang biss wir gegen abend vor eine gartenthur kamen die nur zugelahnt war dieselbe stiess der laquey vollends auff und demnach ich hinder ihm hinein getretten schlug er selbige wieder zu fuhrte mich nachgehends in das lusthauss so in einem eck dess gartens stunde und demnach wir einen zimlich langen gang passirten klopffte er vor einer thur so von einer alten adelichen damen stracks auffgemacht wurde
