idx,textstring
11.2.24,milk and broun breed in which she fond no lak
11.2.25,seynd bacoun and somtyme an ey or tweye
11.2.26,for she was as it were a maner deye
11.3.1,a yerd she hadde enclosed al aboute
11.3.2,with stikkes and a drye dich withoute
11.3.3,in which she hadde a cok hight chauntecleer
11.3.4,in al the land of crowing nas his peer
11.3.5,his vois was merier than the mery orgon
11.3.6,on messedayes that in the chirche gon
11.3.7,wel sikerer was his crowing in his logge
11.3.8,than is a clokke or an abbey orlogge
11.3.9,by nature knew he ech ascencioun
11.3.10,of equinoxial in thilke toun
11.3.11,for whan degrees fiftene were ascended
11.3.12,thanne crew he that it mighte nat ben amended
11.3.13,his comb was redder than the fyn coral
11.3.14,and batailed as it were a castelwal
11.3.15,his bile was blak and as the ieet it shoon
11.3.16,lyk asur were his legges and his toon
11.3.17,his nayles whytter than the lilie flour
11.3.18,and lyk the burned gold was his colour
11.3.19,this gentil cok hadde in his governaunce
11.3.20,sevene hennes for to doon al his plesaunce
11.3.21,whiche were his sustres and his paramours
11.3.22,and wonder lyk to him as of colours
11.3.23,of whiche the faireste hewed on hir throte
11.3.24,was cleped faire damoysele pertelote
11.3.25,curteys she was discreet and debonaire
11.3.26,and compaignable and bar hirself so faire
11.3.27,sin thilke day that she was seven night old
11.3.28,that trewely she hath the herte in hold
11.3.29,of chauntecleer loken in every lith
11.3.30,he loved hir so that wel was him therwith
11.3.31,but such a ioye was it to here hem singe
11.3.32,whan that the brighte sonne gan to springe
11.3.33,in swete accord my lief is faren in londe
11.3.34,for thilke tyme as i have understonde
11.3.35,bestes and briddes coude speke and singe
11.4.1,and so bifel that in a daweninge
11.4.2,as chauntecleer among his wyves alle
11.4.3,sat on his perche that was in the halle
11.4.4,and next him sat this faire pertelote
11.4.5,this chauntecleer gan gronen in his throte
11.4.6,as man that in his dreem is drecched sore
11.4.7,and whan that pertelote thus herde him rore
11.4.8,she was agast and seyde o herte dere
11.4.9,what eyleth yow to grone in this manere
11.4.10,ye been a verray sleper fy for shame
11.4.11,and he answerde and seyde thus madame
11.4.12,i pray yow that ye take it nat agrief
11.4.13,by god me mette i was in swich meschief
11.4.14,right now that yet myn herte is sore afright
11.4.15,now god quod he my swevene recche aright
11.4.16,and keep my body out of foul prisoun
11.4.17,me mette how that i romed up and doun
11.4.18,withinne our yerde wheras i saugh a beste
11.4.19,was lyk an hound and wolde han maad areste
11.4.20,upon my body and wolde han had me deed
11.4.21,his colour was bitwixe yelwe and reed
11.4.22,and tipped was his tail and bothe his eres
11.4.23,with blak unlyk the remenant of his heres
11.4.24,his snowte smal with glowinge eyen tweye
11.4.25,yet of his look for fere almost i deye
11.4.26,this caused me my groning doutelees
11.5.1,avoy quod she fy on yow hertelees
11.5.2,allas quod she for by that god above
11.5.3,now han ye lost myn herte and al my love
11.5.4,i can nat love a coward by my feith
11.5.5,for certes what so any womman seith
11.5.6,we alle desyren if it mighte be
11.5.7,to han housbondes hardy wyse and free
11.5.8,and secree and no nigard ne no fool
11.5.9,ne him that is agast of every tool
11.5.10,ne noon avauntour by that god above
11.5.11,how dorste ye seyn for shame unto your love
11.5.12,that any thing mighte make yow aferd
11.5.13,have ye no mannes herte and han a berd
11.5.14,allas and conne ye been agast of swevenis
11.5.15,nothing god wot but vanitee in sweven is
11.5.16,swevenes engendren of replecciouns
11.5.17,and ofte of fume and of complecciouns
11.5.18,whan humours been to habundant in a wight
11.5.19,certes this dreem which ye han met tonight
11.5.20,cometh of the grete superfluitee
11.5.21,of youre rede colera pardee
11.5.22,which causeth folk to dreden in here dremes
11.5.23,of arwes and of fyr with rede lemes
11.5.24,of grete bestes that they wol hem byte
11.5.25,of contek and of whelpes grete and lyte
11.5.26,right as the humour of malencolye
11.5.27,causeth ful many a man in sleep to crye
11.5.28,for fere of blake beres or boles blake
11.5.29,or elles blake develes wole hem take
11.5.30,of othere humours coude i telle also
11.5.31,that werken many a man in sleep ful wo
11.5.32,but i wol passe as lightly as i can
11.6.1,lo catoun which that was so wys a man
11.6.2,seyde he nat thus ne do no fors of dremes
11.6.3,now sire quod she whan we flee fro the bemes
11.6.4,for goddes love as tak som laxatyf
11.6.5,up peril of my soule and of my lyf
11.6.6,i counseille yow the beste i wol nat lye
11.6.7,that bothe of colere and of malencolye
11.6.8,ye purge yow and for ye shul nat tarie
11.6.9,though in this toun is noon apotecarie
11.6.10,i shal myself to herbes techen yow
11.6.11,that shul ben for your hele and for your prow
11.6.12,and in our yerd tho herbes shal i finde
11.6.13,the whiche han of hir propretee by kinde
11.6.14,to purgen yow binethe and eek above
11.6.15,forget not this for goddes owene love
11.6.16,ye been ful colerik of compleccioun
11.6.17,ware the sonne in his ascencioun
11.6.18,ne fynde yow nat repleet of humours hote
11.6.19,and if it do i dar wel leye a grote
11.6.20,that ye shul have a fevere terciane
11.6.21,or an agu that may be youre bane
11.6.22,a day or two ye shul have digestyves
11.6.23,of wormes er ye take your laxatyves
11.6.24,of lauriol centaure and fumetere
11.6.25,or elles of ellebor that groweth there
11.6.26,of catapuce or of gaytres beryis
11.6.27,of erbe yve growing in our yerd that mery is
11.6.28,pekke hem up right as they growe and ete hem in
11.6.29,be mery housbond for your fader kin
11.6.30,dredeth no dreem i can say yow namore
11.7.1,madame quod he graunt mercy of your lore
11.7.2,but nathelees as touching daun catoun
11.7.3,that hath of wisdom such a greet renoun
11.7.4,though that he bad no dremes for to drede
11.7.5,by god men may in olde bokes rede
11.7.6,of many a man more of auctoritee
11.7.7,than ever catoun was so mote i thee
11.7.8,than al the revers seyn of his sentence
11.7.9,and han wel founden by experience
11.7.10,that dremes ben significaciouns
11.7.11,as wel of ioye as tribulaciouns
11.7.12,that folk enduren in this lyf present
11.7.13,ther nedeth make of this noon argument
11.7.14,the verray preve sheweth it in dede
11.8.1,oon of the gretteste auctours that men rede
11.8.2,seith thus that whylom two felawes wente
11.8.3,on pilgrimage in a ful good entente
11.8.4,and happed so thay come into a toun
11.8.5,wheras ther was swich congregacioun
11.8.6,of peple and eek so streit of herbergage
11.8.7,that they ne founde as muche as o cotage
11.8.8,in which they bothe mighte ylogged be
11.8.9,wherfor thay mosten of necessitee
11.8.10,as for that night departen compaignye
11.8.11,and ech of hem goth to his hostelrye
11.8.12,and took his logging as it wolde falle
11.8.13,that oon of hem was logged in a stalle
11.8.14,fer in a yerd with oxen of the plough
11.8.15,that other man was logged wel ynough
11.8.16,as was his aventure or his fortune
11.8.17,that us governeth alle as in commune
11.9.1,and so bifel that longe er it were day
11.9.2,this man mette in his bed theras he lay
11.9.3,how that his felawe gan upon him calle
11.9.4,and seyde allas for in an oxes stalle
11.9.5,this night i shal be mordred ther i lye
11.9.6,now help me dere brother er i dye
11.9.7,in alle haste com to me he sayde
11.9.8,this man out of his sleep for fere abrayde
11.9.9,but whan that he was wakned of his sleep
11.9.10,he turned him and took of this no keep
11.9.11,him thoughte his dreem nas but a vanitee
11.9.12,thus twyes in his sleping dremed he
11.9.13,and atte thridde tyme yet his felawe
11.9.14,cam as him thoughte and seide i am now slawe
11.9.15,bihold my blody woundes depe and wyde
11.9.16,arys up erly in the morwetyde
11.9.17,and at the west gate of the toun quod he
11.9.18,a carte ful of donge ther shaltow see
11.9.19,in which my body is hid ful prively
11.9.20,do thilke carte aresten boldely
11.9.21,my gold caused my mordre sooth to sayn
11.9.22,and tolde him every poynt how he was slayn
11.9.23,with a ful pitous face pale of hewe
11.9.24,and truste wel his dreem he fond ful trewe
11.9.25,for on the morwe as sone as it was day
11.9.26,to his felawes in he took the way
11.9.27,and whan that he cam to this oxes stalle
11.9.28,after his felawe he bigan to calle
11.10.1,the hostiler answered him anon
11.10.2,and seyde sire your felawe is agon
11.10.3,as sone as day he wente out of the toun
11.10.4,this man gan fallen in suspecioun
11.10.5,remembring on his dremes that he mette
11.10.6,and forth he goth no lenger wolde he lette
11.10.7,unto the west gate of the toun and fond
11.10.8,a dongcarte as it were to donge lond
11.10.9,that was arrayed in the same wyse
11.10.10,as ye han herd the dede man devyse
11.10.11,and with an hardy herte he gan to crye
11.10.12,vengeaunce and iustice of this felonye
11.10.13,my felawe mordred is this same night
11.10.14,and in this carte he lyth gapinge upright
11.10.15,i crye out on the ministres quod he
11.10.16,that sholden kepe and reulen this citee
11.10.17,harrow allas her lyth my felawe slayn
11.10.18,what sholde i more unto this tale sayn
11.10.19,the peple outsterte and caste the cart to grounde
11.10.20,and in the middel of the dong they founde
11.10.21,the dede man that mordred was al newe
11.11.1,o blisful god that art so iust and trewe
11.11.2,lo how that thou biwreyest mordre alway
11.11.3,mordre wol out that see we day by day
11.11.4,mordre is so wlatsom and abhominable
11.11.5,to god that is so iust and resonable
11.11.6,that he ne wol nat suffre it heled be
11.11.7,though it abyde a yeer or two or three
11.11.8,mordre wol out this my conclusioun
11.11.9,and right anoon ministres of that toun
11.11.10,han hent the carter and so sore him pyned
11.11.11,and eek the hostiler so sore engyned
11.11.12,that thay biknewe hir wikkednesse anoon
11.11.13,and were anhanged by the nekkeboon
11.12.1,here may men seen that dremes been to drede
11.12.2,and certes in the same book i rede
11.12.3,right in the nexte chapitre after this
11.12.4,i gabbe nat so have i ioye or blis
11.12.5,two men that wolde han passed over see
11.12.6,for certeyn cause into a fer contree
11.12.7,if that the wind ne hadde been contrarie
11.12.8,that made hem in a citee for to tarie
11.12.9,that stood ful mery upon an havensyde
11.12.10,but on a day agayn the eventyde
11.12.11,the wind gan chaunge and blew right as hem leste
11.12.12,iolif and glad they wente unto hir reste
11.12.13,and casten hem ful erly for to saille
11.12.14,but to that oo man fil a greet mervaille
11.12.15,that oon of hem in sleping as he lay
11.12.16,him mette a wonder dreem agayn the day
11.12.17,him thoughte a man stood by his beddes syde
11.12.18,and him comaunded that he sholde abyde
11.12.19,and seyde him thus if thou tomorwe wende
11.12.20,thou shalt be dreynt my tale is at an ende
11.12.21,he wook and tolde his felawe what he mette
11.12.22,and preyde him his viage for to lette
11.12.23,as for that day he preyde him to abyde
11.12.24,his felawe that lay by his beddes syde
11.12.25,gan for to laughe and scorned him ful faste
11.12.26,no dreem quod he may so myn herte agaste
11.12.27,that i wol lette for to do my thinges
11.12.28,i sette not a straw by thy dreminges
11.12.29,for swevenes been but vanitees and iapes
11.12.30,men dreme alday of owles or of apes
11.12.31,and eke of many a mase therwithal
11.12.32,men dreme of thing that nevere was ne shal
11.12.33,but sith i see that thou wolt heer abyde
11.12.34,and thus forsleuthen wilfully thy tyde
11.12.35,god wot it reweth me and have good day
11.12.36,and thus he took his leve and wente his way
11.12.37,but er that he hadde halfe his cours yseyled
11.12.38,noot i nat why ne what mischaunce it eyled
11.12.39,but casuelly the shippes botme rente
11.12.40,and ship and man under the water wente
11.12.41,in sighte of othere shippes it byside
11.12.42,that with hem seyled at the same tyde
11.12.43,and therfor faire pertelote so dere
11.12.44,by swiche ensamples olde maistow lere
11.12.45,that no man sholde been to recchelees
11.12.46,of dremes for i sey thee doutelees
11.12.47,that many a dreem ful sore is for to drede
11.13.1,lo in the lyf of seint kenelm i rede
11.13.2,that was kenulphus sone the noble king
11.13.3,of mercenrike how kenelm mette a thing
11.13.4,a lyte er he was mordred on a day
11.13.5,his mordre in his avisioun he say
11.13.6,his norice him expouned every del
11.13.7,his sweven and bad him for to kepe him wel
11.13.8,for traisoun but he nas but seven yeer old
11.13.9,and therfore litel tale hath he told
11.13.10,of any dreem so holy was his herte
11.13.11,by god i hadde lever than my sherte
11.13.12,that ye had rad his legende as have i
11.13.13,dame pertelote i sey yow trewely
11.13.14,macrobeus that writ the avisioun
11.13.15,in affrike of the worthy cipioun
11.13.16,affermeth dremes and seith that they been
11.13.17,warning of thinges that men after seen
11.14.1,and forthermore i pray yow loketh wel
11.14.2,in the olde testament of daniel
11.14.3,if he held dremes any vanitee
11.14.4,reed eek of ioseph and ther shul ye see
11.14.5,wher dremes ben somtyme i sey nat alle
11.14.6,warning of thinges that shul after falle
11.14.7,loke of egipt the king daun pharao
11.14.8,his bakere and his boteler also
11.14.9,wher they ne felte noon effect in dremes
11.14.10,whoso wol seken actes of sondry remes
11.14.11,may rede of dremes many a wonder thing
11.15.1,lo cresus which that was of lyde king
11.15.2,mette he nat that he sat upon a tree
11.15.3,which signified he sholde anhanged be
11.15.4,lo heer andromacha ectores wyf
11.15.5,that day that ector sholde lese his lyf
11.15.6,she dremed on the same night biforn
11.15.7,how that the lyf of ector sholde be lorn
11.15.8,if thilke day he wente into bataille
11.15.9,she warned him but it mighte nat availle
11.15.10,he wente for to fighte nathelees
11.15.11,but he was slayn anoon of achilles
11.15.12,but thilke tale is al to long to telle
11.15.13,and eek it is ny day i may nat dwelle
11.15.14,shortly i seye as for conclusioun
11.15.15,that i shal han of this avisioun
11.15.16,adversitee and i seye forthermore
11.15.17,that i ne telle of laxatyves no store
11.15.18,for they ben venimous i woot it wel
11.15.19,i hem defye i love hem never a del
11.16.1,now let us speke of mirthe and stinte al this
11.16.2,madame pertelote so have i blis
11.16.3,of o thing god hath sent me large grace
11.16.4,for whan i see the beautee of your face
11.16.5,ye ben so scarletreed about your yen
11.16.6,it maketh al my drede for to dyen
11.16.7,for also siker as in principio
11.16.8,mulier est hominis confusio
11.16.9,madame the sentence of this latin is
11.16.10,womman is mannes ioye and al his blis
11.16.11,for whan i fele anight your softe syde
11.16.12,albeit that i may nat on you ryde
11.16.13,for that our perche is maad so narwe alas
11.16.14,i am so ful of ioye and of solas
11.16.15,that i defye bothe sweven and dreem
11.16.16,and with that word he fley doun fro the beem
11.16.17,for it was day and eek his hennes alle
11.16.18,and with a chuk he gan hem for to calle
11.16.19,for he had founde a corn lay in the yerd
11.16.20,royal he was he was namore aferd
11.16.21,he fethered pertelote twenty tyme
11.16.22,and trad as ofte er that it was pryme
11.16.23,he loketh as it were a grim leoun
11.16.24,and on his toos he rometh up and doun
11.16.25,him deyned not to sette his foot to grounde
11.16.26,he chukketh whan he hath a corn yfounde
11.16.27,and to him rennen thanne his wyves alle
11.16.28,thus royal as a prince is in his halle
11.16.29,leve i this chauntecleer in his pasture
11.16.30,and after wol i telle his aventure
11.17.1,whan that the month in which the world bigan
11.17.2,that highte march whan god first maked man
11.17.3,was complet and ypassed were also
11.17.4,sin march bigan thritty dayes and two
11.17.5,bifel that chauntecleer in al his pryde
11.17.6,his seven wyves walking by his syde
11.17.7,caste up his eyen to the brighte sonne
11.17.8,that in the signe of taurus hadde yronne
11.17.9,twenty degrees and oon and somwhat more
11.17.10,and knew by kynde and by noon other lore
11.17.11,that it was pryme and crew with blisful stevene
11.17.12,the sonne he sayde is clomben up on hevene
11.17.13,fourty degrees and oon and more ywis
11.17.14,madame pertelote my worldes blis
11.17.15,herkneth thise blisful briddes how they singe
11.17.16,and see the fresshe floures how they springe
11.17.17,ful is myn herte of revel and solas
11.17.18,but sodeinly him fil a sorweful cas
11.17.19,for ever the latter ende of ioye is wo
11.17.20,god woot that worldly ioye is sone ago
11.17.21,and if a rethor coude faire endyte
11.17.22,he in a cronique saufly mighte it wryte
11.17.23,as for a sovereyn notabilitee
11.17.24,now every wys man lat him herkne me
11.17.25,this storie is also trewe i undertake
11.17.26,as is the book of launcelot de lake
11.17.27,that wommen holde in ful gret reverence
11.17.28,now wol i torne agayn to my sentence
11.18.1,a colfox ful of sly iniquitee
11.18.2,that in the grove hadde woned yeres three
11.18.3,by heigh imaginacioun forncast
11.18.4,the same night thurghout the hegges brast
11.18.5,into the yerd ther chauntecleer the faire
11.18.6,was wont and eek his wyves to repaire
11.18.7,and in a bed of wortes stille he lay
11.18.8,til it was passed undern of the day
11.18.9,wayting his tyme on chauntecleer to falle
11.18.10,as gladly doon thise homicydes alle
11.18.11,that in awayt liggen to mordre men
11.18.12,o false mordrer lurking in thy den
11.18.13,o newe scariot newe genilon
11.18.14,false dissimilour o greek sinon
11.18.15,that broghtest troye al outrely to sorwe
11.18.16,o chauntecleer acursed be that morwe
11.18.17,that thou into that yerd flough fro the bemes
11.18.18,thou were ful wel ywarned by thy dremes
11.18.19,that thilke day was perilous to thee
11.18.20,but what that god forwoot mot nedes be
11.18.21,after the opinioun of certeyn clerkis
11.18.22,witnesse on him that any perfit clerk is
11.18.23,that in scole is gret altercacioun
11.18.24,in this matere and greet disputisoun
11.18.25,and hath ben of an hundred thousand men
11.18.26,but i ne can not bulte it to the bren
11.18.27,as can the holy doctour augustyn
11.18.28,or boece or the bishop bradwardyn
11.18.29,whether that goddes worthy forwiting
11.18.30,streyneth me nedely for to doon a thing
11.18.31,nedely clepe i simple necessitee
11.18.32,or elles if free choys be graunted me
11.18.33,to do that same thing or do it noght
11.18.34,though god forwoot it er that it was wroght
11.18.35,or if his witing streyneth nevere a del
11.18.36,but by necessitee condicionel
11.18.37,i wol not han to do of swich matere
11.18.38,my tale is of a cok as ye may here
11.18.39,that took his counseil of his wyf with sorwe
11.18.40,to walken in the yerd upon that morwe
11.18.41,that he had met the dreem that i yow tolde
11.18.42,wommennes counseils been ful ofte colde
11.18.43,wommannes counseil broghte us first to wo
11.18.44,and made adam fro paradys to go
11.18.45,theras he was ful mery and wel at ese
11.18.46,but for i noot to whom it mighte displese
11.18.47,if i counseil of wommen wolde blame
11.18.48,passe over for i seyde it in my game
11.18.49,rede auctours wher they trete of swich matere
11.18.50,and what thay seyn of wommen ye may here
11.18.51,thise been the cokkes wordes and nat myne
11.18.52,i can noon harm of no womman divyne
11.19.1,faire in the sond to bathe hir merily
11.19.2,lyth pertelote and alle hir sustres by
11.19.3,agayn the sonne and chauntecleer so free
11.19.4,song merier than the mermayde in the see
11.19.5,for phisiologus seith sikerly
11.19.6,how that they singen wel and merily
11.19.7,and so bifel that as he caste his ye
11.19.8,among the wortes on a boterflye
11.19.9,he was war of this fox that lay ful lowe
11.19.10,nothing ne liste him thanne for to crowe
11.19.11,but cryde anon cok cok and up he sterte
11.19.12,as man that was affrayed in his herte
11.19.13,for naturelly a beest desyreth flee
11.19.14,fro his contrarie if he may it see
11.19.15,though he never erst had seyn it with his ye
11.20.1,this chauntecleer whan he gan him espye
11.20.2,he wolde han fled but that the fox anon
11.20.3,seyde gentil sire allas wher wol ye gon
11.20.4,be ye affrayed of me that am your freend
11.20.5,now certes i were worse than a feend
11.20.6,if i to yow wolde harm or vileinye
11.20.7,i am nat come your counseil for tespye
11.20.8,but trewely the cause of my cominge
11.20.9,was only for to herkne how that ye singe
11.20.10,for trewely ye have as mery a stevene
11.20.11,as eny aungel hath that is in hevene
11.20.12,therwith ye han in musik more felinge
11.20.13,than hadde boece or any that can singe
11.20.14,my lord your fader god his soule blesse
11.20.15,and eek your moder of hir gentilesse
11.20.16,han in myn hous ybeen to my gret ese
11.20.17,and certes sire ful fayn wolde i yow plese
11.20.18,but for men speke of singing i wol saye
11.20.19,so mote i brouke wel myn eyen tweye
11.20.20,save yow i herde never man so singe
11.20.21,as dide your fader in the morweninge
11.20.22,certes it was of herte al that he song
11.20.23,and for to make his voys the more strong
11.20.24,he wolde so peyne him that with bothe his yen
11.20.25,he moste winke so loude he wolde cryen
11.20.26,and stonden on his tiptoon therwithal
11.20.27,and strecche forth his nekke long and smal
11.20.28,and eek he was of swich discrecioun
11.20.29,that ther nas no man in no regioun
11.20.30,that him in song or wisdom mighte passe
11.20.31,i have wel rad in daun burnel the asse
11.20.32,among his vers how that ther was a cok
11.20.33,for that a preestes sone yaf him a knok
11.20.34,upon his leg whyl he was yong and nyce
11.20.35,he made him for to lese his benefyce
11.20.36,but certeyn ther nis no comparisoun
11.20.37,bitwix the wisdom and discrecioun
11.20.38,of youre fader and of his subtiltee
11.20.39,now singeth sire for seinte charitee
11.20.40,let see conne ye your fader countrefete
11.20.41,this chauntecleer his winges gan to bete
11.20.42,as man that coude his tresoun nat espye
11.20.43,so was he ravisshed with his flaterye
11.21.1,allas ye lordes many a fals flatour
11.21.2,is in your courtes and many a losengeour
11.21.3,that plesen yow wel more by my feith
11.21.4,than he that soothfastnesse unto yow seith
11.21.5,redeth ecclesiaste of flaterye
11.21.6,beth war ye lordes of hir trecherye
11.22.1,this chauntecleer stood hye upon his toos
11.22.2,strecching his nekke and heeld his eyen cloos
11.22.3,and gan to crowe loude for the nones
11.22.4,and daun russel the fox sterte up at ones
11.22.5,and by the gargat hente chauntecleer
11.22.6,and on his bak toward the wode him beer
11.22.7,for yet ne was ther no man that him sewed
11.22.8,o destinee that mayst nat been eschewed
11.22.9,allas that chauntecleer fleigh fro the bemes
11.22.10,allas his wyf ne roghte nat of dremes
11.22.11,and on a friday fil al this meschaunce
11.22.12,o venus that art goddesse of plesaunce
11.22.13,sin that thy servant was this chauntecleer
11.22.14,and in thy service dide al his poweer
11.22.15,more for delyt than world to multiplye
11.22.16,why woldestow suffre him on thy day to dye
11.22.17,o gaufred dere mayster soverayn
11.22.18,that whan thy worthy king richard was slayn
11.22.19,with shot compleynedest his deth so sore
11.22.20,why ne hadde i now thy sentence and thy lore
11.22.21,the friday for to chyde as diden ye
11.22.22,for on a friday soothly slayn was he
11.22.23,than wolde i shewe yow how that i coude pleyne
11.22.24,for chauntecleres drede and for his peyne
11.23.1,certes swich cry ne lamentacioun
11.23.2,was never of ladies maad whan ilioun
11.23.3,was wonne and pirrus with his streite swerd
11.23.4,whan he hadde hent king priam by the berd
11.23.5,and slayn him as saith us eneydos
11.23.6,as maden alle the hennes in the clos
11.23.7,whan they had seyn of chauntecleer the sighte
11.23.8,but sovereynly dame pertelote shrighte
11.23.9,ful louder than dide hasdrubales wyf
11.23.10,whan that hir housbond hadde lost his lyf
11.23.11,and that the romayns hadde brend cartage
11.23.12,she was so ful of torment and of rage
11.23.13,that wilfully into the fyr she sterte
11.23.14,and brende hirselven with a stedfast herte
11.23.15,o woful hennes right so cryden ye
11.23.16,as whan that nero brende the citee
11.23.17,of rome cryden senatoures wyves
11.23.18,for that hir housbondes losten alle hir lyves
11.23.19,withouten gilt this nero hath hem slayn
11.23.20,now wol i torne to my tale agayn
11.24.1,this sely widwe and eek hir doghtres two
11.24.2,herden thise hennes crye and maken wo
11.24.3,and out at dores sterten they anoon
11.24.4,and syen the fox toward the grove goon
11.24.5,and bar upon his bak the cok away
11.24.6,and cryden out harrow and weylaway
11.24.7,ha ha the fox and after him they ran
11.24.8,and eek with staves many another man
11.24.9,ran colle our dogge and talbot and gerland
11.24.10,and malkin with a distaf in hir hand
11.24.11,ran cow and calf and eek the verray hogges
11.24.12,so were they fered for berking of the dogges
11.24.13,and shouting of the men and wimmen eke
11.24.14,they ronne so hem thoughte hir herte breke
11.24.15,they yelleden as feendes doon in helle
11.24.16,the dokes cryden as men wolde hem quelle
11.24.17,the gees for fere flowen over the trees
11.24.18,out of the hyve cam the swarm of bees
11.24.19,so hidous was the noyse a benedicite
11.24.20,certes he iakke straw and his meynee
11.24.21,ne made never shoutes half so shrille
11.24.22,whan that they wolden any fleming kille
11.24.23,as thilke day was maad upon the fox
11.24.24,of bras thay broghten bemes and of box
11.24.25,of horn of boon in whiche they blewe and pouped
11.24.26,and therwithal thay shryked and they houped
11.24.27,it semed as that heven sholde falle
11.24.28,now gode men i pray yow herkneth alle
11.25.1,lo how fortune turneth sodeinly
11.25.2,the hope and pryde eek of hir enemy
11.25.3,this cok that lay upon the foxes bak
11.25.4,in al his drede unto the fox he spak
11.25.5,and seyde sire if that i were as ye
11.25.6,yet sholde i seyn as wis god helpe me
11.25.7,turneth agayn ye proude cherles alle
11.25.8,a verray pestilence upon yow falle
11.25.9,now am i come unto this wodes syde
11.25.10,maugree your heed the cok shal heer abyde
11.25.11,i wol him ete in feith and that anon
11.25.12,the fox answerde in feith it shal be don
11.25.13,and as he spak that word al sodeinly
11.25.14,this cok brak from his mouth deliverly
11.25.15,and heighe upon a tree he fleigh anon
11.25.16,and whan the fox saugh that he was ygon
11.25.17,allas quod he o chauntecleer allas
11.25.18,i have to yow quod he ydoon trespas
11.25.19,inasmuche as i maked yow aferd
11.25.20,whan i yow hente and broghte out of the yerd
11.25.21,but sire i dide it in no wikke entente
11.25.22,com doun and i shal telle yow what i mente
11.25.23,i shal seye sooth to yow god help me so
11.25.24,nay than quod he i shrewe us bothe two
11.25.25,and first i shrewe myself bothe blood and bones
11.25.26,if thou bigyle me ofter than ones
11.25.27,thou shalt namore thurgh thy flaterye
11.25.28,do me to singe and winke with myn ye
11.25.29,for he that winketh whan he sholde see
11.25.30,al wilfully god lat him never thee
11.25.31,nay quod the fox but god yeve him meschaunce
11.25.32,that is so undiscreet of governaunce
11.25.33,that iangleth whan he sholde holde his pees
11.26.1,lo swich it is for to be recchelees
11.26.2,and necligent and truste on flaterye
11.26.3,but ye that holden this tale a folye
11.26.4,as of a fox or of a cok and hen
11.26.5,taketh the moralitee good men
11.26.6,for seint paul seith that al that writen is
11.26.7,to our doctryne it is ywrite ywis
11.26.8,taketh the fruyt and lat the chaf be stille
11.27.1,now gode god if that it be thy wille
11.27.2,as seith my lord so make us alle good men
11.27.3,and bringe us to his heighe blisse amen
11.28.1,sir nonnes preest our hoste seyde anoon
11.28.2,yblessed be thy breche and every stoon
11.28.3,this was a mery tale of chauntecleer
11.28.4,but by my trouthe if thou were seculer
11.28.5,thou woldest been a tredefoul aright
11.28.6,for if thou have corage as thou hast might
11.28.7,thee were nede of hennes as i wene
11.28.8,ya mo than seven tymes seventene
11.28.9,see whiche braunes hath this gentil preest
11.28.10,so greet a nekke and swich a large breest
11.28.11,he loketh as a sperhauk with his yen
11.28.12,him nedeth nat his colour for to dyen
11.28.13,with brasil ne with greyn of portingale
11.28.14,now sire faire falle yow for youre tale
11.29.1,and after that he with ful mery chere
11.29.2,seide to another as ye shullen here
12.1.1,ye let that passen quod our hoste as now
12.1.2,sire doctour of phisyk i preye yow
12.1.3,telle us a tale of som honest matere
12.1.4,it shal be doon if that ye wol it here
12.1.5,seyde this doctour and his tale bigan anon
12.1.6,now good men quod he herkneth everichon
12.2.1,ther was as telleth titus livius
12.2.2,a knight that called was virginius
12.2.3,fulfild of honour and of worthinesse
12.2.4,and strong of freendes and of greet richesse
12.3.1,this knight a doghter hadde by his wyf
12.3.2,no children hadde he mo in al his lyf
12.3.3,fair was this mayde in excellent beautee
12.3.4,aboven every wight that man may see
12.3.5,for nature hath with sovereyn diligence
12.3.6,yformed hir in so greet excellence
12.3.7,as though she wolde seyn lo i nature
12.3.8,thus can i forme and peynte a creature
12.3.9,whan that me list who can me countrefete
12.3.10,pigmalion noght though he ay forge and bete
12.3.11,or grave or peynte for i dar wel seyn
12.3.12,apelles zanzis sholde werche in veyn
12.3.13,outher to grave or peynte or forge or bete
12.3.14,if they presumed me to countrefete
12.3.15,for he that is the former principal
12.3.16,hath maked me his vicaire general
12.3.17,to forme and peynten erthely creaturis
12.3.18,right as me list and ech thing in my cure is
12.3.19,under the mone that may wane and waxe
12.3.20,and for my werk right nothing wol i axe
12.3.21,my lord and i ben ful of oon accord
12.3.22,i made hir to the worship of my lord
12.3.23,so do i alle myne othere creatures
12.3.24,what colour that they han or what figures
12.3.25,thus semeth me that nature wolde seye
12.4.1,this mayde of age twelf yeer was and tweye
12.4.2,in which that nature hadde swich delyt
12.4.3,for right as she can peynte a lilie whyt
12.4.4,and reed a rose right with swich peynture
12.4.5,she peynted hath this noble creature
12.4.6,er she were born upon hir limes free
12.4.7,wheras by right swiche colours sholde be
12.4.8,and phebus dyed hath hir tresses grete
12.4.9,lyk to the stremes of his burned hete
12.4.10,and if that excellent was hir beautee
12.4.11,a thousandfold more vertuous was she
12.4.12,in hir ne lakked no condicioun
12.4.13,that is to preyse as by discrecioun
12.4.14,as wel in goost as body chast was she
12.4.15,for which she floured in virginitee
12.4.16,with alle humilitee and abstinence
12.4.17,with alle attemperaunce and pacience
12.4.18,with mesure eek of bering and array
12.4.19,discreet she was in answering alway
12.4.20,though she were wys as pallas dar i seyn
